"businesses__id","businesses__alias","businesses__name","businesses__image_url","businesses__is_closed","businesses__url","businesses__review_count","businesses__categories__alias","businesses__categories__title","businesses__rating","businesses__coordinates__latitude","businesses__coordinates__longitude","businesses__transactions__001","businesses__transactions__002","businesses__price","businesses__location__address1","businesses__location__address2","businesses__location__address3","businesses__location__city","businesses__location__zip_code","businesses__location__country","businesses__location__state","businesses__location__display_address__001","businesses__location__display_address__002","businesses__location__display_address__003","businesses__location__display_address__004","businesses__phone","businesses__display_phone","businesses__distance","total","region__center__longitude","region__center__latitude"
"Rp1gQn8BbyGHdh_YARRZ_A","alpha-life-fitness-denver","Alpha Life Fitness","https://s3-media1.fl.yelpcdn.com/bphoto/J4LOaIEBxkMgUqppvkOHyg/o.jpg","False","https://www.yelp.com/biz/alpha-life-fitness-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","9","healthtrainers","Trainers","5.0","39.7191425","-104.9056243","","","","168 Pontiac St","null","null","Denver","80220","US","CO","168 Pontiac St","Denver, CO 80220","","","+17209993699","(720) 999-3699","5818.817081158957","","",""
"WhAD9eZndK3xbFpIPqeFYQ","the-dance-art-media-studios-littleton","The Dance Art Media Studios","https://s3-media4.fl.yelpcdn.com/bphoto/IKQ664XV3GkkbQFgB4UJWw/o.jpg","False","https://www.yelp.com/biz/the-dance-art-media-studios-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","dancestudio","Dance Studios","5.0","39.6081044","-105.0976659","","","","8996 West Bowles Ave","Unit K2","null","Littleton","80123","US","CO","8996 West Bowles Ave","Unit K2","Littleton, CO 80123","","+13039796419","(303) 979-6419","17879.54284033615","","",""
"","","","","","","","theater","Performing Arts","","","","","","","","","","","","","","","","","","","","","","",""
"HHv2fah0WapIL8Kche3AHQ","wonderbound-denver-2","Wonderbound","https://s3-media1.fl.yelpcdn.com/bphoto/AoLS0b6fYQqQvFwlA39CHg/o.jpg","False","https://www.yelp.com/biz/wonderbound-denver-2?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","theater","Performing Arts","5.0","39.773672666","-104.95555183","","","","2535 E 40th Ave","null","null","Denver","80205","US","CO","2535 E 40th Ave","Denver, CO 80205","","","+13032924700","(303) 292-4700","4456.443205259131","","",""
"","","","","","","","dancestudio","Dance Studios","","","","","","","","","","","","","","","","","","","","","","",""
"0u1xWODmufStTWtNOAFeQg","warriors-call-tactical-solutions-parker-3","Warriors Call Tactical Solutions","https://s3-media2.fl.yelpcdn.com/bphoto/EkQ1ZL9EQCsOBUZ9qKm2Zg/o.jpg","False","https://www.yelp.com/biz/warriors-call-tactical-solutions-parker-3?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","firearmtraining","Firearm Training","5.0","39.52717","-104.76715","","","","10469 S Parker Rd","","null","Parker","80134","US","CO","10469 S Parker Rd","Parker, CO 80134","","","+17204647885","(720) 464-7885","28964.30283847292","","",""
"","","","","","","","gun_ranges","Gun/Rifle Ranges","","","","","","","","","","","","","","","","","","","","","","",""
"WBHUmYp7wS-jY5IyHLCHKg","my-nature-lab-louisville","My Nature Lab","https://s3-media2.fl.yelpcdn.com/bphoto/ntrK3eh7C2cEcOEbgHKFgA/o.jpg","False","https://www.yelp.com/biz/my-nature-lab-louisville?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","10","educationservices","Educational Services","5.0","39.976643866259806","-105.12968147912312","","","","1110 E South Boulder Rd","null","","Louisville","80027","US","CO","1110 E South Boulder Rd","Louisville, CO 80027","","","+17705000000","(770) 500-0000","30067.548200959965","","",""
"","","","","","","","zoos","Zoos","","","","","","","","","","","","","","","","","","","","","","",""
"frqr0wbb0qEzcx4cnFtjJg","colorado-clownfish-swim-club-littleton","Colorado Clownfish Swim Club","https://s3-media2.fl.yelpcdn.com/bphoto/XYm9u57lhKpgKtrftFeJ0Q/o.jpg","False","https://www.yelp.com/biz/colorado-clownfish-swim-club-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","21","swimmingpools","Swimming Pools","5.0","39.5947447","-105.0901068","","","","8310 W Coal Mine Ave","null","","Littleton","80123","US","CO","8310 W Coal Mine Ave","Littleton, CO 80123","","","+13039726200","(303) 972-6200","18716.50802436075","","",""
"","","","","","","","swimminglessons","Swimming Lessons/Schools","","","","","","","","","","","","","","","","","","","","","","",""
"l-2ywes6P7v2aijp9VW5JQ","front-range-boxing-academy-boulder","Front Range Boxing Academy","https://s3-media2.fl.yelpcdn.com/bphoto/JZLdBVjp3vY1yNZQgWcTNQ/o.jpg","False","https://www.yelp.com/biz/front-range-boxing-academy-boulder?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","gyms","Gyms","5.0","40.0247383","-105.2455673","","","","3801 Pearl St","","","Boulder","80301","US","CO","3801 Pearl St","Boulder, CO 80301","","","+13035469747","(303) 546-9747","39834.617994518856","","",""
"","","","","","","","boxing","Boxing","","","","","","","","","","","","","","","","","","","","","","",""
"qSdxSnBhzuZmVUaL96mWEA","destiny-dance-studio-littleton","Destiny Dance Studio","https://s3-media2.fl.yelpcdn.com/bphoto/UOvse-JVnu0mZ-XL-Bg2yQ/o.jpg","False","https://www.yelp.com/biz/destiny-dance-studio-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","11","dancestudio","Dance Studios","5.0","39.5662795","-104.9916891","","","","213 W County Line Rd","Ste 214","","Littleton","80129","US","CO","213 W County Line Rd","Ste 214","Littleton, CO 80129","","+13037385542","(303) 738-5542","18908.46942948003","","",""
"HVDNGGTNI2rL07URayC8fg","life-cycle-balloon-adventures-brighton","Life Cycle Balloon Adventures","https://s3-media3.fl.yelpcdn.com/bphoto/UGNCB3Z2SUkMaW4a_3D49w/o.jpg","False","https://www.yelp.com/biz/life-cycle-balloon-adventures-brighton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","10","hot_air_balloons","Hot Air Balloons","5.0","39.97628784","-104.79702759","","","","","","","Brighton","80601","US","CO","Brighton, CO 80601","","","","+13032161990","(303) 216-1990","29689.075518449827","","",""
"N321hKwg7PBv4qYXRJGFVw","bodhi-pilates-highlands-ranch","Bodhi Pilates","https://s3-media2.fl.yelpcdn.com/bphoto/CqPzE_xGOEmFqO4L-vVjug/o.jpg","False","https://www.yelp.com/biz/bodhi-pilates-highlands-ranch?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","pilates","Pilates","5.0","39.56479364153386","-104.9645406294478","","","","1970 E County Line Rd","Unit H","","Highlands Ranch ","80126","US","CO","1970 E County Line Rd","Unit H","Highlands Ranch , CO 80126","","+13035978483","(303) 597-8483","18990.633842832493","","",""
"","","","","","","","barreclasses","Barre Classes","","","","","","","","","","","","","","","","","","","","","","",""
"_2GDs7XeQbVgkrwabLKORQ","persist-coaching-personal-training-and-nutrition-coaching-centennial-2","Persist Coaching-Personal Training and Nutrition Coaching","https://s3-media1.fl.yelpcdn.com/bphoto/pyEsjT_9JXwWFCp3sTANpQ/o.jpg","False","https://www.yelp.com/biz/persist-coaching-personal-training-and-nutrition-coaching-centennial-2?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","healthtrainers","Trainers","5.0","39.5633964538574","-104.865493774414","","","","","","","Centennial","80112","US","CO","Centennial, CO 80112","","","","+18083852278","(808) 385-2278","19473.327749543907","","",""
"vbYyemmzgjppx9cWB4L4Sw","chain-reaction-therapy-wheat-ridge","Chain Reaction Therapy","https://s3-media2.fl.yelpcdn.com/bphoto/koRaOEN87sue_s8rXG77Hg/o.jpg","False","https://www.yelp.com/biz/chain-reaction-therapy-wheat-ridge?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","12","massage_therapy","Massage Therapy","5.0","39.769847902846706","-105.0560611","","","","5455 W38th Ave","Ste N","","Wheat Ridge","80212","US","CO","5455 W38th Ave","Ste N","Wheat Ridge, CO 80212","","+19705991213","(970) 599-1213","8269.61091349494","","",""
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","pilates","Pilates","","","","","","","","","","","","","","","","","","","","","","",""
"0K0TrxaZjf7JG1wstJ1M4Q","alchemy-365-tennyson-denver","Alchemy 365 - Tennyson","https://s3-media3.fl.yelpcdn.com/bphoto/TZsu3PTll8jifGwQ-AhKKQ/o.jpg","False","https://www.yelp.com/biz/alchemy-365-tennyson-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","8","intervaltraininggyms","Interval Training Gyms","5.0","39.77315","-105.043687","","","","4144 Tennyson St","null","","Denver","80212","US","CO","4144 Tennyson St","Denver, CO 80212","","","+16124446287","(612) 444-6287","7541.921942416568","","",""
"","","","","","","","yoga","Yoga","","","","","","","","","","","","","","","","","","","","","","",""
"i5KoBcb38g3RdU0a29E3Pw","form-personal-training-denver","Form Personal Training","https://s3-media4.fl.yelpcdn.com/bphoto/OaVbZaQFftZBdO8_6uDE0g/o.jpg","False","https://www.yelp.com/biz/form-personal-training-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","9","healthtrainers","Trainers","5.0","39.72113","-105.00042","","","","301 Kalamath St","Ste 104","","Denver","80223","US","CO","301 Kalamath St","Ste 104","Denver, CO 80223","","+13036686598","(303) 668-6598","3016.9539533542966","","",""
"","","","","","","","nutritionists","Nutritionists","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","weightlosscenters","Weight Loss Centers","","","","","","","","","","","","","","","","","","","","","","",""
"V0jwQbcDkO3gomIpncmHwQ","golden-mountain-guides-golden","Golden Mountain Guides","https://s3-media1.fl.yelpcdn.com/bphoto/n_a-1qWWDGBi58m91cccvw/o.jpg","False","https://www.yelp.com/biz/golden-mountain-guides-golden?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","7","rock_climbing","Rock Climbing","5.0","39.75364","-105.22126","","","","","null","","Golden","80401","US","CO","Golden, CO 80401","","","","+17205982864","(720) 598-2864","21562.432437832118","","",""
"","","","","","","","climbing","Climbing","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","challengecourses","Challenge Courses","","","","","","","","","","","","","","","","","","","","","","",""
"PRKVj-QNl0_7FbxV4n1EAw","aero-cruise-balloon-adventures-broomfield-3","Aero-Cruise Balloon Adventures","https://s3-media2.fl.yelpcdn.com/bphoto/7cAKg-4xO7fi5Zss8grsCQ/o.jpg","False","https://www.yelp.com/biz/aero-cruise-balloon-adventures-broomfield-3?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","hot_air_balloons","Hot Air Balloons","5.0","39.927059","-105.080493","","","","890 Hemlock Way","null","","Broomfield","80020","US","CO","890 Hemlock Way","Broomfield, CO 80020","","","+13034691243","(303) 469-1243","23285.51889040894","","",""
"","","","","","","","aerialtours","Aerial Tours","","","","","","","","","","","","","","","","","","","","","","",""
"d65GTxLinVPK-crB28B3TA","altitude-all-sports-denver","Altitude All Sports","https://s3-media4.fl.yelpcdn.com/bphoto/xIQYfkO_GWMPT_UDYxHTvg/o.jpg","False","https://www.yelp.com/biz/altitude-all-sports-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","11","kids_activities","Kids Activities","5.0","39.7569923400879","-104.866157531738","","","","2823 Havana St","","","Denver","80238","US","CO","2823 Havana St","Denver, CO 80238","","","+17209856642","(720) 985-6642","9214.909506968817","","",""
"HUMtcv58Lo57Rfy-dyD7eA","peace-of-mind-pilates-denver","Peace Of Mind Pilates","https://s3-media2.fl.yelpcdn.com/bphoto/iQ8rKRuR6fYpipytogp4ig/o.jpg","False","https://www.yelp.com/biz/peace-of-mind-pilates-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","8","pilates","Pilates","5.0","39.684625","-104.937043","","","","1780 S Bellaire St","Ste 275","","Denver","80222","US","CO","1780 S Bellaire St","Ste 275","Denver, CO 80222","","+13035257491","(303) 525-7491","6335.358841416203","","",""
"jPma-uanD3VG9wK3bjRXyA","core-progression-denver-2","Core Progression","https://s3-media4.fl.yelpcdn.com/bphoto/tiN1xvKl8j9MnELpxDuZIg/o.jpg","False","https://www.yelp.com/biz/core-progression-denver-2?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","9","gyms","Gyms","5.0","39.7652808744","-104.976138935","","","","3330 Larimer St","Ste 1A","","Denver","80205","US","CO","3330 Larimer St","Ste 1A","Denver, CO 80205","","+17207928968","(720) 792-8968","3346.9279542239974","","",""
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"i4FohDuFhp7Cjal7fghIPw","strive-martial-arts-and-fitness-highlands-ranch","Strive Martial Arts & Fitness","https://s3-media2.fl.yelpcdn.com/bphoto/iDx5vUkjMYzuf5rjZ7KSFA/o.jpg","False","https://www.yelp.com/biz/strive-martial-arts-and-fitness-highlands-ranch?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","martialarts","Martial Arts","5.0","39.564945","-104.956871","","","","2670 E County Line Rd","Ste G","null","Highlands Ranch","80126","US","CO","2670 E County Line Rd","Ste G","Highlands Ranch, CO 80126","","+13034744572","(303) 474-4572","19022.628053875185","","",""
"0JjelYQ_TU2jE7ldTIZMdg","avenge-jiu-jitsu-denver","Avenge Jiu Jitsu","https://s3-media4.fl.yelpcdn.com/bphoto/UuGoFIDJj1GezMtGxjZsrQ/o.jpg","False","https://www.yelp.com/biz/avenge-jiu-jitsu-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","7","brazilianjiujitsu","Brazilian Jiu-jitsu","5.0","39.729584","-105.0191207","","","","2595 W 8th Ave","null","","Denver","80204","US","CO","2595 W 8th Ave","Denver, CO 80204","","","+16266025796","(626) 602-5796","4231.34227580086","","",""
"2zk_xM-1F9LgpulFRPdlHQ","rocky-mountain-outdoor-center-buena-vista","Rocky Mountain Outdoor Center","https://s3-media4.fl.yelpcdn.com/bphoto/NdF0jWpcs11K72QjAIMBiA/o.jpg","False","https://www.yelp.com/biz/rocky-mountain-outdoor-center-buena-vista?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","31","rafting","Rafting/Kayaking","5.0","38.76385","-106.090998","","","","23850 US Hwy 285 S","","","Buena Vista","81211","US","CO","23850 US Hwy 285 S","Buena Vista, CO 81211","","","+17193953335","(719) 395-3335","144867.18248420113","","",""
"","","","","","","","paddleboarding","Paddleboarding","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","bikerentals","Bike Rentals","","","","","","","","","","","","","","","","","","","","","","",""
"Zp3NYdcn63YivI2cd1EXnw","rocky-mountain-escape-rooms-littleton-10","Rocky Mountain Escape Rooms","https://s3-media3.fl.yelpcdn.com/bphoto/NK2U2kRfpWjefo20oQIt8A/o.jpg","False","https://www.yelp.com/biz/rocky-mountain-escape-rooms-littleton-10?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","escapegames","Escape Games","5.0","39.61486","-104.9953","","","","","null","","Littleton","80120","US","CO","Littleton, CO 80120","","","","+13038249201","(303) 824-9201","16454.544650478852","","",""
"jNjQfYLJI_SDqE1b4Zb2dA","superfly-golf-lounge-littleton","Superfly Golf Lounge","https://s3-media1.fl.yelpcdn.com/bphoto/2TVDkDaPS8TFrLCRp5HPqg/o.jpg","False","https://www.yelp.com/biz/superfly-golf-lounge-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","golf","Golf","5.0","39.61295","-105.01314","","","","2100 W Littleton Blvd","Ste C","","Littleton","80120","US","CO","2100 W Littleton Blvd","Ste C","Littleton, CO 80120","","+13033864146","(303) 386-4146","14107.157509634675","","",""
"","","","","","","","cocktailbars","Cocktail Bars","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","sportsbars","Sports Bars","","","","","","","","","","","","","","","","","","","","","","",""
"tP2L9XJUi_rMYO4S8NkyXw","golden-bike-library-golden","Golden Bike Library","https://s3-media2.fl.yelpcdn.com/bphoto/mci_6hS5HVUvxELOeJgOdQ/o.jpg","False","https://www.yelp.com/biz/golden-bike-library-golden?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","bikerentals","Bike Rentals","5.0","39.756713","-105.223443","","","","1010 Washington St","null","","Golden","80401","US","CO","1010 Washington St","Golden, CO 80401","","","+13035973600","(303) 597-3600","21775.22559824788","","",""
"","","","","","","","bikesharing","Bike Sharing","","","","","","","","","","","","","","","","","","","","","","",""
"3O49eha2axdtpGBOm1YjHA","breathe-massage-and-fitness-littleton","Breathe Massage & Fitness","","False","https://www.yelp.com/biz/breathe-massage-and-fitness-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","massage_therapy","Massage Therapy","5.0","39.589","-104.98885","","","","7261 S Broadway","Ste 14L","","Littleton","80122","US","CO","7261 S Broadway","Ste 14L","Littleton, CO 80122","","+17206896900","(720) 689-6900","16355.01387661019","","",""
"","","","","","","","meditationcenters","Meditation Centers","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"nTNA_s9VBuNHEEmHcuAVRQ","body-balance-strength-and-wellness-boulder","Body Balance Strength & Wellness","https://s3-media3.fl.yelpcdn.com/bphoto/PCf-KoVUDGZWryqGHqLfkg/o.jpg","False","https://www.yelp.com/biz/body-balance-strength-and-wellness-boulder?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","gyms","Gyms","5.0","40.0198647","-105.242018","","","","4735 Walnut St E","null","","Boulder","80301","US","CO","4735 Walnut St E","Boulder, CO 80301","","","+17208384009","(720) 838-4009","39210.55091895804","","",""
"","","","","","","","chiropractors","Chiropractors","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"zStAtikdQGNetIBVeYq35g","platinum-plates-fitness-denver","Platinum Plates Fitness","https://s3-media4.fl.yelpcdn.com/bphoto/BxfDYdfDzshgZXxI9YaphA/o.jpg","False","https://www.yelp.com/biz/platinum-plates-fitness-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","healthtrainers","Trainers","5.0","39.67387","-104.83726","","","","","null","","Denver","80014","US","CO","Denver, CO 80014","","","","+17204295660","(720) 429-5660","14592.712780406897","","",""
"","","","","","","","nutritionists","Nutritionists","","","","","","","","","","","","","","","","","","","","","","",""
"agJLE7H7YVkyZYZb3lXhHg","jrt-fit-littleton","JRT Fit","https://s3-media2.fl.yelpcdn.com/bphoto/GqKP93_abWMQ0-qjEXiCwg/o.jpg","False","https://www.yelp.com/biz/jrt-fit-littleton?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","7","healthtrainers","Trainers","5.0","39.60930397412517","-105.09789687029347","","","","8906 W Bowles Ave","Unit G","","Littleton","80123","US","CO","8906 W Bowles Ave","Unit G","Littleton, CO 80123","","+17203361332","(720) 336-1332","17786.106632039937","","",""
"","","","","","","","nutritionists","Nutritionists","","","","","","","","","","","","","","","","","","","","","","",""
"mDt6xEGnJx8oguN7r2Evtw","f45-training-north-arvada-westminster","F45 Training North Arvada","https://s3-media1.fl.yelpcdn.com/bphoto/-NwD5nv0gLZyc0_5-1zAUA/o.jpg","False","https://www.yelp.com/biz/f45-training-north-arvada-westminster?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","5","healthtrainers","Trainers","5.0","39.85651","-105.05974","","","","7350 W 88th Ave","","null","Westminster","80021","US","CO","7350 W 88th Ave","Westminster, CO 80021","","","+13032099317","(303) 209-9317","16259.556347681222","","",""
"","","","","","","","circuittraininggyms","Circuit Training Gyms","","","","","","","","","","","","","","","","","","","","","","",""
